From,To,Similarity
Varebil Klasse 2 / Lastebil,Oppvarmede seter,0.039
Vannutskiller på dieselanlegg,Klimaanlegg,0.243
Utstyrspakke interiør 1,Servostyring,0.152
Uhellshjelp,Sentrallås,0.145
0877 Omission of non combined operation,Startsperre,0.055
A050 50 Ah AGM battery,Multifunksjonsratt,0.051
FCW - Forward Collision Warning,Airbag foran,0.035
916 Drivstofftank med stort innhold - volum 1,Antispinn,0.036
8J4 Fabrikkontrollkode,Sentrallås,0.047
8U6 Omstilling rattbetjening assistentsystem,Multifunksjonsratt,0.06
Vinterhjul Piggfriedekk,Vinterhjul,0.538
0993 model year code in VI,,0.0
8U8 I-Size-merking (Isofix-etterfølger),Isofix,0.376
06AM Real-Time  Traffic Information,Sentrallås,0.054
Keyless entry.,Sentrallås,0.151
3D intrumentpanel,Sentrallås,0.12
927 Avgassrensing Euro 6-teknikk,Antiskrens,0.115
897 Trådløs lading av telefon foran,Airbag foran,0.178
968 COC-papir Euro-6-teknologi - uten vognkort del 2,Kjørecomputer,0.033
0403 Glass roof electrical,Elektriske speil,0.097
989 Identifikasjonsmerke under frontruten,Multifunksjonsratt,0.143
"Parkeringspakke, med park sensor fremme og bak, park assist.",Sommerhjul,0.053
998 Styringskode omstilling WLTP med RDE,Servostyring,0.242
Komfortpakke med keyless entry/go,Sentrallås,0.093
"99B Aktiv demperregulering ""Normally Open""",Startsperre,0.23
9J1 Fabrikkontrollkode,Sentrallås,0.047
8C3 Fabrikkontrollkode,Sentrallås,0.047
Isofix 3x,Isofix,1.0
B09 Kältemittelverdichter mit Magnetkupplung,El.vinduer,0.074
Varmebaksete,Oppvarmede seter,0.338
Avstandssensor og indikator,Sentrallås,0.062
Avansert skkerhetspakke:,Startsperre,0.101
"6,5"" fargeskjerm",,0.0
859 Sentraldisplay størrelse M,Sentrallås,0.312
360 around view monitor med frontkamera,Sommerhjul,0.044
"Vinterhjul m/ pigg 16""",Vinterhjul,0.808
896 Kjøretøytilgang og kjøregodkjenning via smarttelefon,Kjørecomputer,0.172
BLUE Link Hyundai,Bluetooth,0.195
El.håndbrekk,ABS-Bremser,0.079
Nissan Connect Appstyring,Servostyring,0.277
MSZ9,,0.0
Smartphone pakke,Startsperre,0.06
"Skinn, stoff og Alcantara - lys grå/Mistral sort",Sentrallås,0.157
LED - Lys,,0.0
Mørktonede og solbeskyttende ruter,Oppvarmede seter,0.089
17  Alu. vinterhjul,Vinterhjul,0.936
Motorvarmer m/tidsur,Oppvarmede seter,0.159
Aut. nødbrems,ABS-Bremser,0.334
B00 Chassistiltak for land med dårlige veier,Oppvarmede seter,0.033
ADAS Nivå 2,,0.0
PZX Steuercode Vertrieb,El.vinduer,0.102
PAC Fordelspakke,Airbag foran,0.053
"M20 Sylindervolum 2,0 l",Servostyring,0.198
El. justerbart førersete med minne,Oppvarmede seter,0.189
O16 Programvare Fresh-Up 3,Oppvarmede seter,0.039
P34 Exklusiv-Paket,,0.0
P47 Lukeparkeringspakke High,Servostyring,0.053
El. Justerbart korsryggstøtte førersete,Oppvarmede seter,0.101
P60 AMG Nattpakke Eksteriør,Multifunksjonsratt,0.044
10 AMP lader til stikk-kontakt,,0.0
PBF MBUX navigasjon Plus,Multifunksjonsratt,0.076
M016 Motor med økt maksimaleffekt,Klimaanlegg,0.057
PBI Konnektivitetspakke for Connect 5 (NTG6),Startsperre,0.078
PBZ AMG Performance-sete High-End-pakke,Oppvarmede seter,0.067
Elektrisk førersete med minnefunksjon,Elektriske speil,0.377
PXQ Steuercode Vertrieb,El.vinduer,0.101
PXW Steuercode Vertrieb,El.vinduer,0.101
Tretthetsassistent,Lettmet. felg vinter,0.081
PYA Steuercode Vertrieb,El.vinduer,0.101
PYO Steuercode Vertrieb,El.vinduer,0.102
M139 R4-bensinmotor M139 - AMG,Antiskrens,0.035
M005 Kjøretøy med 4-MATIC/firehjulsdrift,Vinterhjul,0.118
B10 Drivstofftank-omfang for Euro-6D-standarden,Startsperre,0.028
H15 Dekorelementer - tre åpenporet svart lind (2C09),Vinterhjul,0.055
B18 Brillenfach,,0.0
B26 AMG aerodynamikkpakke,,0.0
B59 Bryter for valg av kjøreprogram (Agility Select),Kjørecomputer,0.121
Varme i ratt.,Oppvarmede seter,0.381
Komplett servicehistorikk,Lettmet. felg vinter,0.136
F177 Serie 177,ABS-Bremser,0.055
FW Sedan,,0.0
G115 -,,0.0
HA BAKAKSEL,,0.0
EU godkjent,Sentrallås,0.073
JYU Fabrikkontrollkode,Sentrallås,0.047
K14 Kontrollkode for serviceintervall 20000 km,Servostyring,0.13
K31 Støyforskrift i henhold til ECE R51-03,Antiskrens,0.099
K32 Aktiv filskifteassistent,Sentrallås,0.044
K33 Utvidet igangkjøring ved rykkvis køkjøring,Kjørecomputer,0.09
K34 Strekningbasert hastighetstilpasning,Servostyring,0.061
L Venstrestyring,Servostyring,0.38
L6K AMG-ratt nappaskinn/mikrofiber,Isofix,0.092
FCA (Automatisk nødbremsassistent),ABS-Bremser,0.177
Forvarming via mobilapp,Oppvarmede seter,0.102
navigasjon og hastighet *,Multifunksjonsratt,0.081
Discover Media Navigasjon,Multifunksjonsratt,0.076
"Kundebesparelse 27.900,-",,0.0
Topphengslet bakdør,Lettmet. felg vinter,0.094
Speil innv aut dimming,Elektriske speil,0.248
Sportsstoler alcantara/skinn,Startsperre,0.12
"Skinninteriør med Alcantara, skinn og stoff",Antispinn,0.14
Navigasjon Discover Media,Multifunksjonsratt,0.076
Multifunksjonsratt skinn m/girhendler,Multifunksjonsratt,0.724
- B&amp;O * B&amp;O premium lydanlegg med 10 høyttalere,Klimaanlegg,0.201
"17"" alu pamplona",,0.0
Navigasjon Discover Pro,Multifunksjonsratt,0.08
Smart innvendig speil,Elektriske speil,0.23
Automatisk blending av speil,Elektriske speil,0.286
Opel-eye,Elektriske speil,0.06
LED Matrix,Elektriske speil,0.096
Adaptive Cruise-kontroll,Sentrallås,0.058
SOS - nødanrop,,0.0
Ledlykter,Vinterhjul,0.045
Bagasjeromsmatte i gummi,Airbag foran,0.089
Discover Pro Navigasjon,Multifunksjonsratt,0.08
BOSE lyd,,0.0
USB-tilkopling,Servostyring,0.02
Blåtann handsfree,,0.0
Adaptive Radar Cruise control,Radio FM,0.131
Ekstra USB uttak,Sentrallås,0.101
Elektrisk justerbare bakseter,Elektriske speil,0.438
Interiørsensor,Vinterhjul,0.196
Klimatiserte seter foran,Klimaanlegg,0.273
Automatisk klima m/ to soner,Klimaanlegg,0.279
Memoryfunksjon for høyre side foran,Multifunksjonsratt,0.263
"""Privacy"" mørktonede og solbeskyttende ruter",Oppvarmede seter,0.076
Styling,Servostyring,0.164
ProPilot Park,,0.0
Blindsone-Informasjon (Oppdager bil i blindsone),El.vinduer,0.061
Handsfree tlf opplegg,Klimaanlegg,0.153
Skinn - Black,Antispinn,0.095
Trailer Assist,Sentrallås,0.105
URBAN GUARD Alarmpakke,Airbag foran,0.078
"- 16"" Reservehjul - Mini",Vinterhjul,0.218
INFINITY Lydsystem,,0.0
Varmeseter foran og bak,Oppvarmede seter,0.408
Apple Car Play/Android Auto,,0.0
Touchscreen,,0.0
Augmented Video,Vinterhjul,0.055
El vindu foran,El.vinduer,0.382
Navigasjon via smarttelefon,Multifunksjonsratt,0.071
Dynaudio Excite sound system,Radio FM,0.123
Dynamiske led baklys,Elektriske speil,0.167
Telefonholder med Move&amp;Fun,Multifunksjonsratt,0.04
Park sensorer bak,Sentrallås,0.109
Isofix bak,Isofix,0.948
Funksjonspakke,Multifunksjonsratt,0.457
4-veis justerbart passasjersete,Oppvarmede seter,0.111
elektrisk innfellbare side speil,Elektriske speil,0.594
"Aluminiumsfelger 17"" vinter",Lettmet. felg vinter,0.295
360 Omgivelseskamera,Sommerhjul,0.05
føreroppmerksomhetsovervåkning og automatiske fjernlys,Sommerhjul,0.086
760 Hochglanz Shadow Line (Fensterrahmen glanzschwarz),Startsperre,0.056
715 M Aerodynamikpaket,,0.0
hel-automatisk parkeringsassistent med automatgir,Antiskrens,0.084
710 M-Lederlenkrad,Radio FM,0.127
navigasjon og hastighet,Multifunksjonsratt,0.081
676 HiFi Lautsprechersystem,Startsperre,0.097
"Aluminiumsfelger 17"" sommer",Lettmet. felg sommer,0.363
Cruice kontroll,Sentrallås,0.074
Beskyttelsesplate under motor,,0.0
- Komfortpakke * 2-sone automatisk klimaanlegg,Klimaanlegg,0.593
Ambient Lighting,Sentrallås,0.059
Parkeringsseonsor foran og bak,Airbag foran,0.171
- Designpakke 2 * Adaptive og blendefrie LED hovedlys,,0.0
El. håndbrems,ABS-Bremser,0.31
Digital Cockpit,,0.0
Speil - el innfellbare,Elektriske speil,0.239
- Familiepakke * Barnelås,,0.0
- Handsfree bakluke - med fotsensor,Sentrallås,0.063
Mørk sotet glass bak,,0.0
Cruisecontrol adaptiv,Kjørecomputer,0.099
- LED hovedlys *,,0.0
- Tilhengerfeste - innfellbart *,Lettmet. felg vinter,0.058
- Vinterpakke * Oppvarmet frontrute og oppvarmet ratt,Oppvarmede seter,0.599
18 alufelger,Lettmet. felg vinter,0.219
Lane keeper (aktiv varsling),Startsperre,0.071
Elektronisk stabilitetsprogram,Elektriske speil,0.233
El vindu,El.vinduer,0.507
El innfelbart speil,Elektriske speil,0.244
Automatisk klima Control,Klimaanlegg,0.279
Høytsittende bremselys,ABS-Bremser,0.275
Isofix barnesetefester,Isofix,0.54
Igangkjøringshjelp,Kjørecomputer,0.064
Assistentsystempakke tour all inclu,Sentrallås,0.11
LED Hovedlykter,Vinterhjul,0.038
Krompakke innvendig,Kjørecomputer,0.093
Kommunikasjonsmodul for digitale tjenester,Multifunksjonsratt,0.084
Kledning i tre fra gulv til tak i varerom,Oppvarmede seter,0.048
Interiørdetaljer i sort pianolakk,Vinterhjul,0.11
Instrumentpanel med fargedisplay,Antispinn,0.084
Innvendig speil med automatisk blendefunksjon,Multifunksjonsratt,0.234
Høyre skyvedør med vindu,El.vinduer,0.226
Lakkerte dørhåndtak,,0.0
Høydejusterbart førersete med korsryggstøtte,Oppvarmede seter,0.121
Audi music interface med USB-uttak foran og bak,Airbag foran,0.144
Hanskerom med lokk,Elektriske speil,0.11
Audi pre sense front og basic,Sentrallås,0.083
Bang &amp; Olufsen premium sound,Sentrallås,0.066
Fjernstyringstjenester Pluss,Servostyring,0.243
Fast hengerfeste,,0.0
Elektrisk justerbare sidespeil med varme,Elektriske speil,0.583
Lakkert skyvedørskinne,Antispinn,0.052
Automatisk klimaanlegg to-sone,Klimaanlegg,0.683
EURO 6d Gr. I,,0.0
Mercedes-Benz nødsamtalesystem,Oppvarmede seter,0.062
Krell Premium Sound System,Antiskrens,0.124
N1-utførelse,,0.0
Mobilapp/Appstyring,Servostyring,0.253
Motor OM608 DE LA 70 kW/95 hk,,0.0
"Touch-Screen 10,25''",,0.0
Modell generasjon 0,Multifunksjonsratt,0.097
Justerbart Ratt,Multifunksjonsratt,0.137
Vindu i bakdør,El.vinduer,0.31
Vinterdekk på alu.felger,Lettmet. felg vinter,0.342
"18"" Alufelg med sommerdekk",Lettmet. felg sommer,0.436
"20"" 5-dobbelteiket design kontrast",Sentrallås,0.101
Mercedes me tjenester,Oppvarmede seter,0.127
Marco Polo audiosystem,Radio FM,0.131
MBUX multimedia system med DAB,Multifunksjonsratt,0.179
Lys - og regnsensor,Sentrallås,0.096
Lufte/skyvevindu i høyre skyvedør,El.vinduer,0.132
"17"" Alufelg med vinterdekk",Lettmet. felg vinter,0.36
Lakkerte fangere,,0.0
Elektrisk PTC-varmeapparat,Elektriske speil,0.337
ECO Start-stopp funksjon,Multifunksjonsratt,0.347
Kollisjonsputer (7),Kjørecomputer,0.205
Forvarmer via APP-Styring.,Servostyring,0.296
"12,3"" Media Display",Antispinn,0.135
6-trinns manuell girkasse,Elektriske speil,0.051
"7,4 kW ombordlader",,0.0
"16"" 5-dobbelt eikedesign stålfelg med hjulkapsel",Vinterhjul,0.121
Trådløs Smarttelefon Lader,Startsperre,0.049
Trinnlaus CVT,Elektriske speil,0.062
Keyless START,Startsperre,0.253
Bluetooth telefoni/audio,Bluetooth,0.586
varme i baksete,Oppvarmede seter,0.447
"Til.feste, avtakbart komb all inc",Sentrallås,0.068
trådløs mobil lading,Radio FM,0.159
parksensor foran,Airbag foran,0.243
led bar ekstralys,Sentrallås,0.265
elektrisk parkprems,Elektriske speil,0.433
Dabradio,Radio FM,0.635
Appstyring med forvarmer,Servostyring,0.309
VSC (Antispinn og Antiskrens),Antiskrens,0.772
Nødbrems assistanse,ABS-Bremser,0.244
Virtual cockpit plus,,0.0
Airbag for fører- og passasjer,Airbag foran,0.542
Dør- og midtre armlene i sort korn utførelse,Oppvarmede seter,0.047
Citan PRO,,0.0
Doble bakdører med vindu,El.vinduer,0.22
Dobbelt passasjersete med låst ryggstøtte,Oppvarmede seter,0.108
"Dekor, aluminium matt børstet s-lin",Multifunksjonsratt,0.041
Elektrisk justerbare forseter,Elektriske speil,0.448
Flerfarget ambientebelysning,Vinterhjul,0.042
Komfortnøkkel,Airbag foran,0.048
Matrix LED hovedlys,Elektriske speil,0.065
Citan standard,Startsperre,0.063
COC-dokument,Sentrallås,0.048
Sportsseter foran s-line,Airbag foran,0.223
Bremsesystem med ABS og ASR,ABS-Bremser,0.452
Arctic White - Standard seriefarge,ABS-Bremser,0.044
Allværsmatter,Sentrallås,0.081
Aktiv sikkerhetspakke,Startsperre,0.116
Skinn/ alcantara s line,Antispinn,0.143
Aktiv kjørefeltassistent,Kjørecomputer,0.151
"Solgardin, siderutene bak",Kjørecomputer,0.058
Airbag for overkropp og langs vinduer foran,Airbag foran,0.519
Isofix barnesetefester foran og begge sider i baksetet,Isofix,0.402
"Grå Artense (Metallic, Grå acier)",Sentrallås,0.081
Kollisjonsvern,Multifunksjonsratt,0.144
Safety Brake (0-140 km/t),,0.0
Komforttelefoni med LTE og trådløs lading,Radio FM,0.116
Med trafikkskiltgjenkjenning,Sentrallås,0.052
Speedometer km/t,Lettmet. felg vinter,0.107
Sidespeil elektrisk justerbare og oppvarmede,Elektriske speil,0.529
Sidespeil elektrisk innfellbare og velkomstlys,Elektriske speil,0.437
Med unnamanøvreringshjelp med,Oppvarmede seter,0.065
Sete fører manuelt betjent,Oppvarmede seter,0.096
Rød Elixir - metlakk,Lettmet. felg vinter,0.066
lysende stylingelement(er) på siden,Sentrallås,0.11
"Mirror Link pluss Wireless ""app""",Elektriske speil,0.045
Parkeringsassistent IPA (Intelligent Park Assist),Vinterhjul,0.076
Sporholdeassistent,Sentrallås,0.053
Sportsutførelse,Startsperre,0.074
Støtfanger Sport,,0.0
avkjøringsassistent,Kjørecomputer,0.077
"barnesetesystem I-Size, 2 x top tether",Oppvarmede seter,0.074
Keyless Advanced,,0.0
Speil innvendig med automatisk nedblendig,Elektriske speil,0.184
Kalde soner (Ny i Norge),,0.0
Front Assist med varsling og bremsing,ABS-Bremser,0.203
S6NX Storage Tray Wireless Charging,Airbag foran,0.056
S6U3 BMW Live Operating Area Professional,Startsperre,0.054
S6U7 BMW Natural Interaction,Vinterhjul,0.121
S9T8 SPECIFIC ADDITIONAL EQPT.SPORT PACKAGE,Startsperre,0.105
mulighet for Hengerfeste,Multifunksjonsratt,0.065
LED belysning i varerom,Oppvarmede seter,0.06
aut-tenning av lys og aut-pusser,Servostyring,0.07
Vinduer bak elektriske med ettrykksfunksjon,Elektriske speil,0.372
Ambientebelysning utvendig,Vinterhjul,0.045
Ambientelys versjon 2,Multifunksjonsratt,0.084
Barneseteforankring for,Airbag foran,0.211
"Climatronic, KFK-fritt",Klimaanlegg,0.128
Stoff Cozy,,0.0
Fabrikkintern styring av selvhenting,Servostyring,0.237
Forberedelse for utvidet sikkerhetssystem,Vinterhjul,0.071
"for biler, fotgjengere og syklister",Klimaanlegg,0.073
og barneseteforankring foran pass.side,Airbag foran,0.279
S6AF Statutory Emergency Call,Sentrallås,0.064
"16"" alufelger",Lettmet. felg vinter,0.219
Active Safety Brake med radar og kamera,Radio FM,0.119
2xUSB,,0.0
22kW ombordlader,,0.0
3 Fas 11 KW ombordlader,,0.0
ALC Automatisk lyskontroll,Antiskrens,0.134
BAS Bremeseassistent system,ABS-Bremser,0.13
Bi LED Hovedlys,,0.0
El åpning/lukking bakluke,Servostyring,0.039
pluss RSE (forberedelse),Oppvarmede seter,0.09
Elektrisk justering av fører og passasjer sete,Elektriske speil,0.419
LKAS Filskifte varsler med lane keeping assist system,Antispinn,0.094
MG ismart (app styring),Servostyring,0.368
Ryggekamera med 360 grader visning,Radio FM,0.115
To sone automatisk klimaanlegg,Klimaanlegg,0.759
"16"" alufelg Elborn Anthra grå og dekkskum",Lettmet. felg vinter,0.107
100 kW- 240 Nm,,0.0
DEFLECTEURSOUSPLAN,,0.0
Elbil,,0.0
Elektrisk,Elektriske speil,0.767
Europeiske Union med NRE,Elektriske speil,0.211
Ratt på venstre side,Multifunksjonsratt,0.134
RCC digital,,0.0
Quartz instrumentpanel,Sentrallås,0.045
Norm alladeinntak 7.4 kW enfase,Sentrallås,0.067
Motor Continental 9,Antispinn,0.11
Mirror Screen,,0.0
Manuell lysregulering,Servostyring,0.058
Kollisjonsputer foran - i siden og sidegardiner,Airbag foran,0.133
Klimaanlegg automatisk betjent,Klimaanlegg,0.686
Isofix-fester 2 stk baksete,Isofix,0.516
Halogenlys aut-tenning av lys og aut.pusser,Servostyring,0.054
Girkasse med hastighetsredusering,Servostyring,0.088
Girkasse RGAl trinnløs,Elektriske speil,0.052
Frontrute oppvarmet under vinduspusser,Oppvarmede seter,0.351
Frontrute farget og laminert,Kjørecomputer,0.061
S6C3 Connected Package Professional,,0.0
S688 Harman/Kardon Surround Sound System,Oppvarmede seter,0.038
3D instrument,Sentrallås,0.074
"7"" Touchscreen med DAB+ Radio og Bluetooth",Bluetooth,0.546
"LED-Kjørelys ""Daytime Running Light""",Kjørecomputer,0.125
2-hjulstrekk,Vinterhjul,0.217
"7"" Touchscreen med Connect DAB+ Radio, Bluetooth, USB, 12V og Jack-kontakt (Apple Carplay)",Bluetooth,0.383
Justerbart skrivebord (midtsete),Antiskrens,0.122
Hel skillevegg med vindu og gjennomlastingsluke,El.vinduer,0.125
Coffee Break Alert (Varselmelding etter to timers kjøring i en hastighet på over 65 km/h),Lettmet. felg sommer,0.067
Grå Quartz (Metallic),Sentrallås,0.09
Ekstra mørktonede vinduer,El.vinduer,0.414
S5DU Parking Assistance Package,Startsperre,0.045
2-seter passasjerbenk,Oppvarmede seter,0.123
Volkswagen Originalt Takstativ,Startsperre,0.035
Sportchassis,,0.0
Fargepakke SORT,,0.0
"MyLink m/ 7"" skjerm",,0.0
Lane departure warning system,Startsperre,0.048
Forberedelse for parkeringssensor bak,Oppvarmede seter,0.073
LED-lampe i varerom og 4 ekstra lastesikringskroker,Antiskrens,0.105
Lakkeringspakke (Lakkerte støtfangare foran / bak,Airbag foran,0.115
2 Seter,Oppvarmede seter,0.416
Skyvedør høyre side med vindu,El.vinduer,0.214
Android Auto / Apple CarPlay,,0.0
Aktiv filassistent med veiskuldergjenkjenning,Sentrallås,0.033
UVO APP,,0.0
SKINNINTERIØR,Vinterhjul,0.213
PARK SENSORER,Sentrallås,0.114
LED LYS,,0.0
360-degree cameras,Sommerhjul,0.05
CRUISECINTROL,Vinterhjul,0.066
DIESELPARTIKKELFILT.,Startsperre,0.044
"Exclusivepakke (ord.pris 30.000,-)",Elektriske speil,0.05
BLINDSONE VARSLER,El.vinduer,0.065
Dødsonevarsler,Oppvarmede seter,0.054
sidespeil),Elektriske speil,0.339
"Stoffinteriør ""Mistral Gray Base""",Sentrallås,0.179
106KW-340NM,,0.0
S8LZ Country Control Nordic 09090,Sentrallås,0.076
S4U6 Quick Charg.Altern.Current Multi-Phase,Multifunksjonsratt,0.11
S5DW Parking Assistant Professional,Antispinn,0.057
S42A Interior Applications Clear&amp;Bold,Vinterhjul,0.096
S1LH BMW Light-Alloy Wheel Aerodynamic 1011,Sentrallås,0.052
S2VH Integral Active Front Steering,Sentrallås,0.112
S322 Comfort Access,Kjørecomputer,0.073
S32X Deletion Of Contactless Tailgate Operation,Lettmet. felg vinter,0.059
"S407 Panorama Glass Roof, Sky Lounge",Airbag foran,0.059
S413 Luggage Compartment Net,Kjørecomputer,0.125
cruisekontroll,Sentrallås,0.07
S4AA Headlining Anthracite,Antispinn,0.058
S4EX Interior Surface Andesit Sillver Matte,Vinterhjul,0.098
S4HC Heat Comfort Package,Kjørecomputer,0.069
S4NB Autom. Climate Control With 4-Zone Ctrl,Klimaanlegg,0.117
S4T2 LADEKABEL PROFESSIONAL (MODE 3),,0.0
S4V1 BMW ICONICSOUNDS ELECTRIC,Elektriske speil,0.079
S5AQ Active Guard Plus,,0.0
S5AU Driving Assistant Professional,Antispinn,0.057
S5AZ BMW Laserlicht,ABS-Bremser,0.053
Økt nyttelast,,0.0
filskiftevarsling,Oppvarmede seter,0.049
skiltgjenkjenning,Servostyring,0.02
tretthetsvarsling,Lettmet. felg vinter,0.078
"S2T7 BMW I LA Wheel, Double Spoke 430",,0.0
App for telefon,Elektriske speil,0.075
Komfortskillevegg med lasteluke,Startsperre,0.059
Pre-Crash Systyem,Kjørecomputer,0.097
"Modu-work (3 seter foran, førersete m/armlene, høydejust. og korsryggstøtte)",Oppvarmede seter,0.15
Skyvedør høyreside,,0.0
Skyvedører høyre- og venstreside med vinduer,El.vinduer,0.36
Lasteholdere / takstativ,Startsperre,0.049
Standard nyttelast,Startsperre,0.055
Stoff mørk/grå,,0.0
Topphengslet bakluke med varmetråder og vindusvisker,Oppvarmede seter,0.192
Topphengslet bakluke med vindusvisker,El.vinduer,0.144
Fjernstyrt sentr.lås,Sentrallås,0.186
El.just. speil,Elektriske speil,0.278
Adaptiv Radar Cruise,Radio FM,0.148
Linjevarsel,Oppvarmede seter,0.059
"Hjulbolter, standard",Vinterhjul,0.223
App for tilkobling via tlf,Airbag foran,0.046
RCTA kryss trafikk varsling,Sentrallås,0.06
302 Alarm,Oppvarmede seter,0.092
BSN blindsone varsling,El.vinduer,0.054
"2T7 20"" Alu Doublespoke 430",,0.0
Bi led lys,,0.0
"Hengerfeste kan ettermonteres, spør oss om pris",Lettmet. felg vinter,0.137
Midtkonsoll med armlene,Oppvarmede seter,0.096
Nøkkelfritt start og låsesystem,Startsperre,0.164
Skinntrukket ratt med multifunksjonstaster,Multifunksjonsratt,0.6
Adaptiv cruise control + køkjøringsassistent,Sentrallås,0.088
Skumringssensor/Autolys,Sentrallås,0.057
249 Multifunksjonstaster på ratt,Multifunksjonsratt,0.721
0570 Forsterket strømforsyning,Airbag foran,0.062
Bose Premium-Lydanlegg,Klimaanlegg,0.273
"Justerbare 3-punkts sikkerhetsbelter, med doble beltestrammere og trykkavlastinig foran",Airbag foran,0.122
