,From,To,Similarity
591,hill start assist: hill start assist.,startsperre,0.269
592,multimedia-anlegg,klimaanlegg,0.41
593,multimedia anlegg,klimaanlegg,0.359
594,*blindsone varsling,beltevarsler,0.238
595,*blindsonevarsling.,beltevarsler,0.303
596,dab+ radio/cd spiller,radio dab+,0.527
597,dab + radio/cd spiller,radio dab+,0.527
598,elektrisk vinduer,el.vinduer,0.551
599,4 elektriske vinduer,elektriske speil,0.607
600,- 4 x elektriske vinduer,elektriske speil,0.607
601,parkeringssensorer foran,parkeringsensor foran,0.762
602,parkeringssensorer foran og,parkeringsensor foran,0.762
603,parkeringsensorer foran,parkeringsensor foran,0.923
604,parkerings sensorer foran,parkeringsensor foran,0.827
605,• talestyring,servostyring,0.428
606,talestyring.,servostyring,0.428
607,-panoramasoltak,takrails,0.079
608,panorama/soltak,takrails,0.079
609,hurtiglading,radio fm,0.147
610,*hurtiglading,radio fm,0.147
611,83b hurtiglading,radio fm,0.134
612,hurtiglading 83b,radio fm,0.134
613,aktive kurvelys,xenonlys,0.062
614,* aktive kurvelys,xenonlys,0.062
615,el-soltak,takrails,0.103
616,-soltak,takrails,0.139
617,navigasjon pro,navigasjonssystem,0.706
618,• navigasjon pro,navigasjonssystem,0.706
619,navigation pro,navigasjonssystem,0.417
620,-elektrisk førersete,elektrisk sete m. memory,0.593
621,elektrisk førersete,elektrisk sete m. memory,0.593
622,semi-elektrisk førersete,elektrisk sete m. memory,0.434
623,elektrisk førerstol,elektriske speil,0.512
624,filassistent,pollenfilter,0.134
625,feltassistent,beltevarsler,0.111
626,fil assistent,pollenfilter,0.164
627,justerbare bakseter,regulerbart ratt,0.236
628,justerbart baksete,regulerbart ratt,0.316
629,semi elektrisk hengerfeste,elektriske speil,0.415
630,- semielektrisk hengerfeste,elektriske speil,0.365
631,blindsonedeteksjon,multifunksjonsratt,0.143
632,blindsonedeteksjon 2,multifunksjonsratt,0.143
633,tonede vinduer bak,el.vinduer,0.541
634,sotede vinduer bak,el.vinduer,0.514
635,tonede vinduer,el.vinduer,0.557
636,mørktonede vinduer bak,el.vinduer,0.44
637,mørktonede vinduer,el.vinduer,0.449
638,sidespeil elektrisk innfellbart,elektriske speil,0.552
639,"sidespeil, elektrisk innfellbare",elektriske speil,0.548
640,500 sidespeil elektrisk innfellbart,elektriske speil,0.528
641,norsk utstyr,servostyring,0.205
642,norsk utstyr ^,servostyring,0.205
643,-cruise controll,cruisekontroll,0.779
644,-cruise control,cruisekontroll,0.734
645,*cruise controll,cruisekontroll,0.779
646,rv - cruise control,cruisekontroll,0.734
647,cruisecontrol.,cruisekontroll,0.614
648,ad.cruisecontrol,cruisekontroll,0.479
649,laneassist,,0.0
650,"""lane assist""",,0.0
651,lane-assist,,0.0
652,- lane assist,,0.0
653,lta lane assist,,0.0
654,"automat,",,0.0
655,-automat,,0.0
656,parkerings-sensorer foran og bak,parkeringsensor foran,0.747
657,-parkeringssensorer foran og bak,parkeringsensor foran,0.747
658,parkeringsensorer foran og bak,parkeringsensor foran,0.905
659,parkerings sensorer foran og bak,parkeringsensor foran,0.808
660,bixenon hovedlys,xenonlys,0.478
661,bi-xenon hovedlys,xenonlys,0.478
662,bi xenon hovedlys,xenonlys,0.551
663,bi xenon hovudlys,xenonlys,0.421
664,614 bi-xenon hovedlys,xenonlys,0.435
665,xenon hovedlys,xenonlys,0.551
666,led- lys,xenonlys,0.186
667,*led lys,xenonlys,0.186
668,ledlys,xenonlys,0.112
669,30p oppbevaringspakke,beltevarsler,0.119
670,30 s oppbevaringspakke,beltevarsler,0.13
671,innfellbar hengerfeste,lettmet. felg vinter,0.066
672,* innfellbart hengerfeste,regulerbart ratt,0.095
673,- innfellbart tilhengerfeste,regulerbart ratt,0.085
674,innfeldbart hengerfeste.,regulerbart ratt,0.09
675,låsbare hjulbolter,vinterhjul,0.234
676,• låsbare hjulbolter,vinterhjul,0.234
677,låsb. hjulbolter,vinterhjul,0.261
678,låsbar hjulbolt,vinterhjul,0.223
679,varseltrekant,beltevarsler,0.234
680,• varseltrekant,beltevarsler,0.234
681,app-connect,air condition,0.067
682,appconnect,air condition,0.067
683,app connect,air condition,0.094
684,app conect,air condition,0.106
685,sidekollisjonsputer,kjørecomputer,0.181
686,sidekollisjonspute,kjørecomputer,0.16
687,veiskiltinformasjon,multifunksjonsratt,0.137
688,veiskiltinformasjon.,multifunksjonsratt,0.137
689,* vinterpakke,vinterdekk,0.307
690,-vinterpakke,vinterdekk,0.307
691,winterpakke,vinterdekk,0.194
692,- ryggesensor,ryggekamera,0.351
693,*ryggesensor,ryggekamera,0.351
694,smartphone integration,vinterdekk,0.104
695,14u smartphone integration,vinterdekk,0.097
696,- varme i seter foran,oppvarmede seter,0.513
697,• varme i seter foran,oppvarmede seter,0.513
698,varme i seter foran 873,oppvarmede seter,0.417
699,873 varme i seter foran,oppvarmede seter,0.417
700,heldigitalt førerdisplay,vinterdekk,0.125
701,digitalt førerdisplay 12,vinterdekk,0.143
702,sub woofer,,0.0
703,subwoofer,,0.0
704,fjernkontroll på rattet,cruisekontroll,0.326
705,fjernkontroll på ratt,cruisekontroll,0.353
706,radiofjernkontroll på rattet,radio fm,0.36
707,06ak connected drive services,servostyring,0.111
708,s06ak connected drive services,servostyring,0.106
709,6ak connected drive services,servostyring,0.117
710,06akconnected drive services,servostyring,0.096
711,6akconnected drive services,servostyring,0.1
712,parkeringsensor foran/bak,parkeringsensor foran,0.851
713,*parkeringssensor foran/bak,parkeringsensor foran,0.703
714,- parkeringssensor foran/bak,parkeringsensor foran,0.703
715,parkeringsensorer foran/bak,parkeringsensor foran,0.802
716,06ae teleservices,servostyring,0.132
717,06ae teleservice,servostyring,0.138
718,06aeteleservices,servostyring,0.118
719,6ae teleservice,servostyring,0.15
720,6aeteleservices,servostyring,0.125
721,distronic plus,cruisekontroll,0.064
722,-distronic plus,cruisekontroll,0.064
723,233 - distronic plus,cruisekontroll,0.055
724,distronic plus 233,cruisekontroll,0.055
725,distronic plus bas,cruisekontroll,0.059
726,innvendig led belysning,lakkerte utvendige speil,0.248
727,innvendig belysning,lakkerte utvendige speil,0.255
728,-led innvendig belysning,lakkerte utvendige speil,0.248
729,webasto.,,0.0
730,-webasto,,0.0
731,0654 dab tuner,radio dab+,0.202
732,s0654 dab tuner,radio dab+,0.186
733,front assist.,cruisekontroll,0.073
734,- front assist,cruisekontroll,0.073
735,-automatiske fjernlys,xenonlys,0.198
736,-automatisk fjernlys,xenonlys,0.207
737,automatisk fjernlys ahb,xenonlys,0.182
738,automatiske frontlys,elektriske speil,0.168
739,02vb tyre pressure display,antispinn,0.099
740,s02vb tyre pressure display,antispinn,0.094
741,2vb tyre pressure display,antispinn,0.105
742,02vbtyre pressure display,antispinn,0.084
743,2vbtyre pressure display,antispinn,0.088
744,unnamanøverassistent,ryggekamera,0.059
745,unnamanøver assistent,sentrallås,0.051
746,unnamanøver assist,,0.0
747,keyless go start,startsperre,0.249
748,keyless go og start,startsperre,0.249
749,abs,abs-bremser,0.4
750,-abs,abs-bremser,0.4
751,toyota safety sense,regnsensor,0.173
752,toyota safety sens,regnsensor,0.103
753,dab-lyd (digital audio broadcasting+),radio dab+,0.215
754,dab-lyd (digital audio broadcasting+).,radio dab+,0.215
755,dab (digital audio broadcasting),radio dab+,0.234
756,dab-radio (digital audio broadcasting+),radio dab+,0.449
757,12v uttak i bakseter,skinnseter,0.177
758,12 v uttak ved bakseter,skinnseter,0.182
759,12v uttak i baksetet,skinnseter,0.129
760,230v uttak i baksetet,skinnseter,0.112
761,230 volt uttak i baksetet,skinnseter,0.111
762,220v uttak bakseter,skinnseter,0.148
763,barnesikringslås,parkeringsensor bak,0.115
764,med barnesikringslås,parkeringsensor bak,0.113
765,intellisafe surround (bli,vinterdekk,0.104
766,intellisafe surround = blis,vinterdekk,0.097
767,komfort sete,skinnseter,0.184
768,komfort seter,skinnseter,0.234
769,ds komfortseter,skinnseter,0.194
770,komfortsete,skinnseter,0.151
771,comfort seter,skinnseter,0.237
772,-speil pakke,lakkerte utvendige speil,0.439
773,- speilpakke,lakkerte utvendige speil,0.31
774,* speilpakke,lakkerte utvendige speil,0.31
775,speil pakke,lakkerte utvendige speil,0.439
776,intellisafe surround,vinterdekk,0.108
777,- intellisafe surround,vinterdekk,0.108
778,blis (intellisafe surround),vinterdekk,0.097
779,"strømuttak, bagasjerom",navigasjonssystem,0.108
780,strømuttak bagasjerom,navigasjonssystem,0.108
781,dab - digitales radio,radio dab+,0.599
782,dab - digital radio,radio dab+,0.664
783,dab digitalradio,radio dab+,0.532
784,keyl.ess-go,,0.0
785,-keyless-go,,0.0
786,keyless - go,,0.0
787,varme seter bak,oppvarmede seter,0.59
788,varmeseter bak,oppvarmede seter,0.448
789,varme i seter / bak,oppvarmede seter,0.59
790,smarttelefonintegrasjon,skinninteriør,0.15
791,smarttelefon-integrasjon,skinninteriør,0.15
792,kollisjonspute fører kollisjonspute på førersiden,kjørecomputer,0.165
793,kollisjonspute for ben fører knekollisjonspute på førersiden,kjørecomputer,0.155
794,bluetooth audio,bluetooth,0.852
795,bluetooth: audio,bluetooth,0.852
796,elektrisk regulering,regulerbart ratt,0.528
797,elektrisk regulering ratt,regulerbart ratt,0.625
798,"ratt, elektrisk regulering",regulerbart ratt,0.625
799,tonede ruter 5stk,oppvarmede seter,0.131
800,• tonede ruter 5 stk,oppvarmede seter,0.154
801,tonede ruter 5,oppvarmede seter,0.178
802,"tonede ruter, 5stk",oppvarmede seter,0.131
803,panorama soltak.,takrails,0.09
804,el. panorama soltak,takrails,0.09
805,panorama med soltak,takrails,0.088
806,dobbelt panorama soltak,beltevarsler,0.14
807,intellisafe assist,vinterdekk,0.125
808,- intellisafe assist,vinterdekk,0.125
809,intellisafe assist acc,vinterdekk,0.118
810,kg03 intellisafe assist,vinterdekk,0.1
811,keyless-go pakke,lakkerte utvendige speil,0.087
812,-keyless-go pakke,lakkerte utvendige speil,0.087
813,keyless-go-pakke,lakkerte utvendige speil,0.076
814,keyless-go pakke p17,lakkerte utvendige speil,0.079
815,889 keyless-go-pakke,lakkerte utvendige speil,0.07
816,0420 sun protection glazing,air condition,0.085
817,s0420 sun protection glazing,air condition,0.082
818,0420sun protection glazing,air condition,0.073
819,420sun protection glazing,air condition,0.077
820,m sport understell,navigasjonssystem,0.034
821,amg sportsunderstell,startsperre,0.071
822,ambient lightning,skinninteriør,0.07
823,ambient lighting - 3,sentrallås,0.059
824,- ambient lighting,sentrallås,0.059
825,ambient lighting 877,sentrallås,0.053
826,0322 comfort access,kjørecomputer,0.07
827,0322  comfort access,kjørecomputer,0.07
828,322 - comfort access,kjørecomputer,0.078
829,0322comfort access,kjørecomputer,0.058
830,322 comfort access,kjørecomputer,0.078
831,322comfort access,kjørecomputer,0.062
832,s0322 comfort access,kjørecomputer,0.065
833,wifi,,0.0
834,wi-fi,,0.0
835,04u9 acoustic pedestrian protection,air condition,0.074
836,s04u9 acoustic pedestrian protection,air condition,0.071
837,04u9acoustic pedestrian protection,air condition,0.066
838,4u9acoustic pedestrian protection,air condition,0.068
839,s4u9 acoustic pedestrian protection,air condition,0.073
840,acoustic pedestrian protection,air condition,0.081
841,elektrisk førersete med minne,elektrisk sete m. memory,0.517
842,elektrisk førersete med minne.,elektrisk sete m. memory,0.517
843,8-veis elektrisk førersete med minne,elektrisk sete m. memory,0.433
844,*med forbehold om feil i annonsen*,regnsensor,0.126
845,• med forbehold om feil i annonsen,regnsensor,0.126
846,blindsoneovervåking,servostyring,0.081
847,blindsoneovervåker,servostyring,0.062
848,med fremre parkeringshjelp,parkeringsensor bak,0.332
849,fremre parkeringshjelp,parkeringsensor bak,0.336
850,android auto/apple carplay,handsfree opplegg,0.18
851,android auto / apple carplay,handsfree opplegg,0.21
852,androidauto/applecarplay,handsfree opplegg,0.156
853,aut.dimming inv/utv speil,lakkerte utvendige speil,0.193
854,• aut.dimming inv/utv speil,lakkerte utvendige speil,0.193
855,aut. dimming inv/utv speil,lakkerte utvendige speil,0.221
856,aut. dimming inv./utv. speil,lakkerte utvendige speil,0.221
857,aut.dimming innv/utv speil,lakkerte utvendige speil,0.194
858,digitalt instrument panel,fjernstyrt sentrallås,0.083
859,-digitalt instrumentpanel,fjernstyrt sentrallås,0.078
860,0302 alarm system,alarm,0.562
861,0302  alarm system,alarm,0.562
862,302     alarm system,alarm,0.658
863,0302alarm system,alarm,0.447
864,302alarm system,alarm,0.49
865,ventilerte seter,lakkerte utvendige speil,0.268
866,- ventilerte seter,lakkerte utvendige speil,0.268
867,ventilerte forseter,lakkerte utvendige speil,0.242
868,453 ventilerte seter,lakkerte utvendige speil,0.235
869,12v stikkontakt i bagasjerom,diesel-partikkelfilter,0.119
870,12v kontakt i bagasjerom,navigasjonssystem,0.126
871,230v stikkontakt i bagasjerommet,lettmet. felg sommer,0.168
872,kjøreassistentpakke,kjørecomputer,0.191
873,kjøreassistent-pakke,kjørecomputer,0.191
874,kjøreassistent pakke,kjørecomputer,0.217
875,kjøreassistentpakke 23p,kjørecomputer,0.175
876,05ac high-beam assistant,antispinn,0.065
877,5ac high-beam assistant,antispinn,0.069
878,5ac     high-beam assistant,antispinn,0.069
879,bagasjeroms matte,navigasjonssystem,0.139
880,bagasjeromsmatte.,navigasjonssystem,0.117
881,- bagasjeromsmatte,navigasjonssystem,0.117
882,bagsjeromsmatte,airbag foran,0.097
883,bagasjerommsmatte,navigasjonssystem,0.107
884,el korsryggstøtte,ryggekamera,0.187
885,-korsryggstøtte,ryggekamera,0.187
886,el.korsryggstøtte,ryggekamera,0.163
887,trådløs telefonlader,xenonlys,0.146
888,6nw trådløs telefonlader,xenonlys,0.136
889,pilot assist.,cd-spiller,0.188
890,- pilot assist,cd-spiller,0.188
891,pilot-assist,cd-spiller,0.155
892,propilot assist,cd-spiller,0.147
893,propilot park assist,cd-spiller,0.139
894,06c3 connected package professional,air condition,0.077
895,s06c3 connected package professional,air condition,0.074
896,s6c3 connected package professional,air condition,0.076
897,brannslukker,skinnseter,0.137
898,682 brannslukker,skinnseter,0.121
899,0548 kilometre speedo,metallic lakk,0.07
900,s0548 kilometre speedo,metallic lakk,0.066
901,0548kilometre speedo,metallic lakk,0.061
902,548 kilometre speedo,metallic lakk,0.075
903,548kilometre speedo,metallic lakk,0.064
904,• parkeringskamera 360,parkeringsensor bak,0.412
905,- parkeringskamera 360,parkeringsensor bak,0.412
906,elektrisk passasjerstol,elektriske speil,0.433
907,elektrisk passasjersete,elektrisk sete m. memory,0.489
908,- elektrisk passasjerstol,elektriske speil,0.433
909,0775 headlining anthracite,antispinn,0.058
910,s0775 headlining anthracite,antispinn,0.054
911,0775headlining anthracite,antispinn,0.051
912,775headlining anthracite,antispinn,0.053
913,03ac trailer coupling,takrails,0.204
914,03actrailer coupling,takrails,0.193
915,3ac trailer coupling,takrails,0.219
916,sportsseter foran,airbag foran,0.257
917,sportsseter plus foran,airbag foran,0.232
918,481 sportsseter foran,airbag foran,0.225
919,audi phone box,,0.0
920,- audi phone box,,0.0
921,- mørker ruter,parkeringsensor bak,0.21
922,- mørke ruter,kjørecomputer,0.157
923,•mørke ruter,kjørecomputer,0.157
924,12v uttak i baggasjerom,navigasjonssystem,0.114
925,• 12v uttak i bagasjerom,navigasjonssystem,0.13
926,12v-uttak i bagasjerom,navigasjonssystem,0.108
927,12v uttak bagasjerom,navigasjonssystem,0.13
928,gummimatter,klimaanlegg,0.089
929,-gummimatter,klimaanlegg,0.089
930,- gummi matter,skinnratt,0.096
931,gummi matter,skinnratt,0.096
932,06u3 bmw live operating area professional,startsperre,0.058
933,s06u3 bmw live operating area professional,startsperre,0.056
934,06u3bmw live operating area professional,startsperre,0.051
935,6u3bmw live operating area professional,startsperre,0.053
936,s6u3 bmw live operating area professional,startsperre,0.058
937,06u3 bmw live operating area pro,startsperre,0.072
938,bmw live operating area professional,startsperre,0.064
939,0494 seat heating driver/passenger,parkeringsensor bak,0.066
940,s0494 seat heating driver/passenger,parkeringsensor bak,0.063
941,- s494 seat heating driver/passenger,parkeringsensor bak,0.065
942,0494seat heating driver/passenger,parkeringsensor bak,0.057
943,494seat heating driver/passenger,parkeringsensor bak,0.06
944,s494  seat heating driver/passenger,parkeringsensor bak,0.065
945,14u - smartphone integrasjonspakke,navigasjonssystem,0.153
946,14u smartphone integrasjonspakke,navigasjonssystem,0.153
947,- setevarme foran,oppvarmede seter,0.381
948,-setevarme foran,oppvarmede seter,0.381
949,-setevarmer foran,oppvarmede seter,0.366
950,setevarmer foran,oppvarmede seter,0.366
951,mørk tonet glass,,0.0
952,-mørktonet glass,,0.0
953,mørk-tonet glass,,0.0
954,0760 high gloss shadow line,,0.0
955,0760 high gloss shadow line +,,0.0
956,0760high gloss shadow line,,0.0
957,760high gloss shadow line,,0.0
958,02pa locking wheel bolt,skinnseter,0.08
959,02pa  locking wheel bolt,skinnseter,0.08
960,02palocking wheel bolt,skinnseter,0.07
961,2palocking wheel bolt,skinnseter,0.074
962,2 x isofix barnesete fester,isofix,0.619
963,5x isofix barnesetefester,isofix,0.555
964,lyspakke,lakkerte utvendige speil,0.132
965,- lyspakke,lakkerte utvendige speil,0.132
966,lys pakke,lakkerte utvendige speil,0.192
967,filskiftevarsling,beltevarsler,0.404
968,- filskiftevarsling,beltevarsler,0.404
969,lda filskiftevarsling,beltevarsler,0.37
970,08tg thiefproofing device,isofix,0.107
971,s08tg thiefproofing device,isofix,0.104
972,08tgthiefproofing device,isofix,0.098
973,8tgthiefproofing device,isofix,0.101
974,skinntrukket multifunksjonsratt,multifunksjonsratt,0.772
975,skinn multifunksjonsratt,multifunksjonsratt,0.94
976,sportspedaler,startsperre,0.284
977,- sportspedaler,startsperre,0.284
978,varme i bakseter,oppvarmede seter,0.472
979,varme i bakseter.,oppvarmede seter,0.472
980,872 varme i bakseter,oppvarmede seter,0.385
981,omgivelseskamera,ryggekamera,0.254
982,360 omgivelseskamera,ryggekamera,0.245
983,svingbare hovedlys,vinterdekk,0.076
984,svingbare led hovedlys,vinterdekk,0.074
985,led svingbare hovedlys,vinterdekk,0.074
986,0534 automatic air conditioning,air condition,0.622
987,s0534 automatic air conditioning,air condition,0.59
988,0534automatic air conditioning,air condition,0.536
989,534automatic air conditioning,air condition,0.567
990,nøkkelløs inngang,aux-inngang,0.548
991,• nøkkelløs inngang,aux-inngang,0.548
992,"manuell seteforlenger, førersete",skinnseter,0.163
993,"manuell seteputeforlengelse, førersete",skinnseter,0.14
994,"seteputeforlengelser, førersetet",skinnseter,0.153
995,0710 m leather steering wheel,parkeringsensor bak,0.093
996,s0710 m leather steering wheel,parkeringsensor bak,0.086
997,0710m leather steering wheel,parkeringsensor bak,0.084
998,710m leather steering wheel,parkeringsensor bak,0.09
999,360 graders kamera.,ryggekamera,0.368
1000,360  graders kamera,ryggekamera,0.368
1001,360 graders kamera 501,ryggekamera,0.324
1002,501 360 graders kamera,ryggekamera,0.324
1003,sips sidekollisjonsbeskytelse,cruisekontroll,0.111
1004,sips sidekollisjonsbeskyttelse,cruisekontroll,0.111
1005,sidekollisjonsbeskyttelse,cruisekontroll,0.121
